場地名稱,場地別,廳別,類型,縣市,地址,聯絡人,電話,電子郵件,每小時費用,半天費用,全天費用,最大容納(空場),最大容納(劇院型),最大容納(教室型),平日時間,假日時間,設備費用,場地照片,場地布置圖,可租用時間說明,備註,活動規模
台北國際會議中心,會議場地,101會議室,會議室,台北市,台北市信義區信義路五段1號,場地租借部,02-2725-5200,ticc@ticc.com.tw,需詢價,需詢價,需詢價,3000,3000,1500,08:00-22:00,08:00-22:00,"投影/音響/燈光需另計","https://www.ticc.com.tw/wSite/public/Attachment/f171030141726.jpg;https://www.ticc.com.tw/wSite/public/Attachment/f171030141726_2.jpg",需詢價索取,"需提前一個月預約，適合國際會議/展演",超大型活動
台北國際會議中心,會議場地,主會議廳,會議室,台北市,台北市信義區信義路五段1號,場地租借部,02-2725-5200,ticc@ticc.com.tw,需詢價,需詢價,需詢價,需詢價,需詢價,需詢價,08:00-22:00,08:00-22:00,專業視聽設備,https://www.ticc.com.tw/wSite/sp?xdUrl=/wSite/ap/lp_VenueIntroduction.jsp&ctNode=321&CtUnit=98&BaseDSD=7&mp=1,無,"停車場50元/時，適合大型發表會",大型活動
華山1914文化創意產業園區,展演場地,東2A館,展演空間,台北市,台北市中正區八德路一段1號,場地租借窗口,02-2358-1914,,需詢價,需詢價,52000,300,需詢價,需詢價,08:00-22:00,08:00-22:00,"基本電費每度10元","https://www.huashan1914.com/w/huashan1914/media/...jpg;https://www.huashan1914.com/w/huashan1914/AppPlaceInfo?pid=17",需詢價索取,"夜間超時每小時10000元，適合展覽/記者會/表演",中型活動
華山1914文化創意產業園區,展演場地,中4A紅酒作業場,展演空間,台北市,台北市中正區八德路一段1號,場地租借窗口,02-2358-1914,,需詢價,需詢價,100000,需詢價,需詢價,需詢價,08:00-22:00,08:00-22:00,"挑高空間適合大型",https://www.huashan1914.com/w/huashan1914/AppPlaceInfo?pid=12,無,"紅磚區電費每度5.5元，適合頒獎/新品發表",中大型活動
朱崙區民活動中心,機關場地,禮堂,活動中心,台北市,台北市中山區龍江路15號3樓,陳麗芳,02-25031369轉506,,需詢價,需詢價,需詢價,100,需詢價,需詢價,依申請,依申請,"基本桌椅/投影",https://service.gov.taipei/rental/images/venue/...jpg,無,"線上租借平台申請，適合藝文表演/會議",小型活動
林森三區民活動中心,機關場地,會議室,活動中心,台北市,台北市林森北路67巷7號3樓,陳麗芳,02-25031369轉506,,需詢價,需詢價,需詢價,40,需詢價,需詢價,依申請,依申請,"投影機/白板",https://service.gov.taipei/rental/...jpg,無,"適合靜態會議/讀書會",微型活動
客家藝文活動中心,機關場地,3樓會議室,會議室,台北市,台北市大安區新生南路一段157巷19號3樓,場館人員,02-27026141分機211,,需詢價,需詢價,需詢價,70,需詢價,需詢價,依申請,依申請,"投影機/麥克風/白板","https://service.gov.taipei/rental/...jpg;鄰近大安森林公園",無,"需先電話詢空檔02-27026141分機211",小型活動
幸市區民活動中心,機關場地,多功能室,活動中心,台北市,台北市某區,需詢價,需詢價,,750/4小時(一般),需詢價,需詢價,需詢價,需詢價,需詢價,依申請,依申請,"水電另計(冷氣350/4小時)",https://service.gov.taipei/rental/...jpg,無,"長期租用優惠525/4小時",小型活動
松江區民活動中心,機關場地,多功能廳,活動中心,台北市,台北市中庄里錦州街222號2樓,陳麗芳,02-25031369轉506,,需詢價,需詢價,需詢價,60,需詢價,需詢價,依申請,依申請,"桌椅/投影",https://service.gov.taipei/rental/...jpg,無,"適合會議/研討/舞蹈",小型活動
新北市公有場地,大埤頂市民活動中心演藝廳,機關場地,演藝廳,活動中心,新北市,新北市八里區中山路1段95號2樓,陳美真,(02)26102621分機165,,需詢價,需詢價,需詢價,300,需詢價,需詢價,依申請,依申請,"基本舞台/音響",https://ntpcsite.ntpc.gov.tw/...jpg,無,"線上租借，適合表演/講座",中型活動
新北市公有場地,龍米市民活動中心,機關場地,多功能廳,活動中心,新北市,新北市八里區龍米路1段223號,需詢價,需詢價,,需詢價,需詢價,需詢價,200,需詢價,需詢價,依申請,依申請,桌椅配置,https://ntpcsite.ntpc.gov.tw/location/list,無,"容納200人",中型活動
新北市公有場地,忠孝市民活動中心4A研習教室,機關場地,研習教室,教室,新北市,新北市某區,需詢價,需詢價,"80元/時(場地)+35元/時(冷氣)",需詢價,需詢價,需詢價,需詢價,需詢價,依申請,依申請,"白板/桌椅/投影機/布幕",https://ntpcsite.ntpc.gov.tw/location/detail/170,無,"禁止飲食(白開水除外)",微型活動
TCCC台灣文創訓練中心,教育場地,台北多間教室,教室/培訓中心,台北市,多據點(台北市內),預約專線,需詢價,,需詢價,"40-100依教室",需詢價,需詢價,依場館,依場館,"投影/音響/燈光標準","https://www.tpqc.com.tw/...jpg;https://www.tpqc.com.tw/tag/...jpg",無,"全台9場館40空間，適合教育訓練/講座",小型活動
三創生活園區,展演場地,CLAPPER STUDIO展演廳,展演空間,台北市,台北市中正區市民大道三段2號,場地諮詢,需詢價,,需詢價,700,400,需詢價,依申請,依申請,"360吋LED牆/專業影音",https://www.syntrend.com.tw/...jpg,需詢價索取,"適合發表會/展演",大型活動
NUZONE展演空間,展演場地,主空間,展演空間,台北市,台北市大安區建國南路一段,預約窗口,需詢價,,需詢價,"100-200",需詢價,需詢價,依申請,依申請,人文藝術設備,https://www.nuzone.com.tw/...jpg,無,"適合展演/講座",中型活動
